,UID,Choice,Course Code,Final Writeup,predict_recommend
0,C35A1W1,1,C35,"I believe in this technological advanced world, businesses are no longer limited to retail stores but have advanced into E-commerce. As a technology-savvy youth, I have developed a strong interest to learn the connection between technology and business and financial knowledge This course requires its students to be conscientious and rational. As a pure science student, I had the opportunity to hone my analytical skills and have grown to become a more meticulous person. Therefore, I strongly hope to be given the chance to take up this course as it interests me and suits me. I have been an active member of my school's Football team. Together with my teammates, we have clinched a couple of awards. We managed to maintain top 3 in the nationals for the past few years. We clinched a Gold medal in Secondary 1, Silver in Secondary 2, Gold in Secondary 3 and Bronze earlier this year. I was given the opportunity to be a Logistic Manager in my team as well. In Secondary 2, I visited Pacific Activity Centre (Sengkang). We planned an afternoonworth of activities and interacted with the elderly. It was truly a humbling experience for me.",0
1,C35A2W1,1,C35,"The Business and Financial Technology course has caught my eye as I wish to learn more on how technology can impact businesses and how we can make use of technology for the greater good of a business. It was like a spark had ignited in me because I look up to many businesses in the world and how each and every one of them are doing so well. Moreover, I also have quite a bit of IT experience and it would be a dream come true for me getting to discover more in depth, the world of Business and IT. In my CCA, which is Dance Ensemble, I was in the Committee and had the role of the Head of Logistics. Together with my CCA, we have performed many different dances. We went for SYF in the year of 2017 and have attained an achievement. We also have participated in Chingay 2017 and many other small dances. I have also went for a few VIA projects with my class, one significant one would be visiting the elderly homes, talking to them and playing some games with them too.",0
2,C35A3W1,1,C35,"I fancy numbers and I always want to know how much profits I made monthly. I want to learn how to programme and follow my family's footsteps. I aspire to start my own business that is well known and trust-able. I like the feeling of investing and eventually getting a profit and making crucial business decisions. I like it when bar graph rises as it shows that I had improved and done well. I also wish to set up multiple business different countries with the information of this course. Participated in Inter School CCA Fencing(Sec),Robotics(Pri) and Band(Pri) competition and is a member for both CCA and in Inter Class Frisbee and Captain Ball.SYF award(pri)Silver,certificate of 1st POOM in Taekwondo,Young Engineer Award-Bronze and Silver.",0
3,C35A4W1,1,C35,"I foresee that there is a growth and demand in IT business in the near future. The modules that will are held in this course interested me and would like to learn the skills and knowledge that is provided. There is a strong emphasis on hands-on work that be given the chance to work with industry partners which sure to give me valuable skills during the on-the-job experience. Academic wise, this course has a strong emphasis communication and critical thinking which I would like to improve and further develop, to increase my confidence and critical thinking skills with my goal in sight. i have participated in band since sec one till now. In sec two i was chosen to be a cca leader and would frequently participate and contribute during the preparation and event. In sec 3, i was chosen to be a student conductor to lead the band during songs and had to be disciplined and willing to learn at all times. i was also chosen to lead my fellow cca leaders in the Exco community as Yellow House captain. We have to lead them in cheer and guide them during various events, instructing them and keep them in order. In my last SYF, my band managed to get silver through discipline and hardwork. I volunteered for chingay when i was sec 3 and had to learn to prioritize between my school, tuition and with my friends. i also volunteered to participate for school events to make the decorations and perform for national day, speech day and Chinese.",1
4,C35A5W1,1,C35,"We are into high technology era where people use computers, tablets and smart devices in daily lives for online/offline purchases, social networking and communication. Singapore is going into a cashless country, it is a need to know and how to compete with traditional financial methods. This will a new way of doing business transactions in the future. I am always keen to know and understand how financial technology works, manage and improve future business environment. I always wanted to improve in fintech to help people to count money easily and avoid making calculation mistakes. I am actively involved in the school's Chess Society. I scored the highest with 3.5 out of 5 points in the Under-14 section. With my results, the school was crowned Champions in the North Zone in the Under-14 section in Year 2016. Thereafter I have participated several competitions. One of them was organised by Singapore Chess Federation on 26 November 2016 under open challengers. I was ranked 15 out of 71 participants from different countries. I have also help my school in achieving gold medal in interschool chess competition for north zone in 2016 and 2017. I have also participate in work attachment with Wing Tai through school in 2017 for 4 weeks at their G2000 outlet in NEX. I have also volunteered in colour run in 2017.",0
5,C35A5W2,2,C54,"We are into a high technology era where people use computers, tablets and smart devices in daily lives for social networking, communication with family and friends. Technology also uses in medical fields even for operations. Technology attacks are definitely inevitable. So, it is a need to learn how to counter or prevent attacks and damages in order to keep technology safe for all to use in the right way. by studying cyber security I can also help my country to avoid cyber attacks and prevents broken family from happening due to scams and addictions I am actively involved in the school's Chess Society. I scored the highest with 3.5 out of 5 points in the Under-14 section. With my results, the school was crowned Champions in the North Zone in the Under-14 section in Year 2016. Thereafter I have participated several competitions. One of them was organised by Singapore Chess Federation on 26 November 2016 under open challengers. I was ranked 15 out of 71 participants from different countries. I have also help my school in achieving gold medal in interschool chess competition for north zone in 2016 and 2017. I have also participate in work attachment with Wing Tai through school in 2017 for 4 weeks at their G2000 outlet in NEX. I have also volunteered in colour run in 2017.",0
6,C35A6W1,1,C35,"I am interested in both Business/Finance and IT hence my interest to study Business and Financial Technology. I have always been interested to know more about digital marketing. Technology have been advancing a lot in the world, it is being used in businesses and have affected different businesses and financial environment. I would like to learn more about the importance of IT in the future of businesses such as e-commerce and entrepreneurship. I am very interested in this course as it can be useful for the present and future of Singapore. I have learned and achieved a lot in my CCA which is ST Johns brigade. Have Achieved to learn basic outdoor cooking, bandaging,kayaking and how to prevent injuries from getting any worst. I have done a number of first aid services during my time in CCA such as during sports day, school events, and the ASEAN Paralympic Games as a first aider in 2015.i am also the type of person that likes to try everything when I have the opportunity. I have attended the AEM Ideas for design in Temasek Poly to explore the design courses and what they do in classes. I have also recently participated in the P.L.A.Y 2018 conducted by Ngee Ann Poly to have a glimpse of Early Childhood education. I have also participated in the annual Zone 4 First Aid competition in 2014.i have also achieved home craft, home nursing, a gold for the kindness badge and a silver for the total defence badge programme during my time in CCA.",1
7,C35A6W2,2,C43,"I would love to explore into helping companies improve their environment by doing data analysing to influence business decisions. My interest in IT and Business can help me study this course with a passion and do well. My interest in business comes from my family where we have a hawker business and I am constantly trying to improve and upgrade the business such as promoting the stall on different social media platforms. With the world advancing in technology, I feel that companies need more people that can help to improve their businesses. I have learned and achieved a lot in my CCA which is ST Johns brigade. Have Achieved to learn basic outdoor cooking, bandaging,kayaking and how to prevent injuries from getting any worst. I have done a number of first aid services during my time in CCA such as during sports day, school events, and the ASEAN Paralympic Games as a first aider in 2015.i am also the type of person that likes to try everything when I have the opportunity. I have attended the AEM Ideas for design in Temasek Poly to explore the design courses and what they do in classes. I have also recently participated in the P.L.A.Y 2018 conducted by Ngee Ann Poly to have a glimpse of Early Childhood education. I have also participated in the annual Zone 4 First Aid competition in 2014.i have also achieved home craft, home nursing, a gold for the kindness badge and a silver for the total defence badge programme during my time in CCA.",0
9,C35A7W1,1,C35,"I used Solidworks 3D CAD for O-level DNT and was awarded a certificate of achievement in learning how to use the software. I would like to develop my interest in IT skills such as programming and cloud computing. I represented my school in Mathematics Competition and Marketing Innovation Challenge where I applied design thinking skills to real-world problems. I worked part-time in Popular as a cashier and sales assistant and learnt that teamwork and having marketing plan make decision making more efficient for successful business operations. I hope to work in Accenture to enhance my skills. I have participated in the Service Learning Club since Sec 1. In Sec 2, I was appointed the group leader in a Student Care Centre and l developed skills such as resilience and problemsolving. In Sec 3, I was nominated as Treasurer in the Executive Committee. I was responsible for planning activities for my juniors and to manage the fund by calculating the profits earned and controlling budgets. In Sec 4, I received an Outstanding Leadership Award in school. I also received the Edusave Scholarship from Sec 1 to 4, EAGLES Award in Sec 4, for being the Top 3 Student in the cohort. I was also Top 5 in class from Sec 1 to 3. In Sec 2, I was also Top in Chinese and I got a merit award in a Chinese book review competition. For displaying strong values in school, I received the Values Ambassador Award in Sec 1, 2 and 3. I also took part in overseas trip to Hong Kong in Sec 2 and was awarded the Outstanding Academic Achievement in Global Perspectives: An adventure in Liberal Studies.",1
10,C35A8W1,1,C35,"My passion for business began when I started selling pre-loved goods to friends.My father,who is a Business Development Leader,is my role model and he has played a significant role in creating this passion in me.I am keen to find out how companies start up their business and how they leverage on technology.Technology has impacted the way businesses function and I am keen to learn how to use technology in business.I aspire to be a businesswoman with an IT edge, setting up business in Food and Fashion.I believe that drive, passion and hard work will enable me to succeed in this course. I served as Chairperson of my class in 2017.As the Chairperson,I was always needed for quick solutions to the problems my class faced.This was a challenge for me as I had to come out of my comfort zone,think on my feet and try new things which I enjoyed very much.Moreover,being a Class Chairperson helped me to be more comfortable in communicating with others.As a leader in the Girl Guides unit in my school,I have helped to coordinate major events and this has equipped me with networking,organisational and leadership skills.For example,I was the Head IC for a key learning journey to Sree Narayanan Mission Home.I loved the challenge of being incharge and coordinating work for the team.I contributed to the CCA achieving Gold in various events.I have put my creativity to good use when I contributed innovative ideas for VIA projects.I strongly believe in the value of punctuality and responsibility.Hence,I always ensure that I plan ahead of time and fulfil the tasks given to me.",1
11,C35A9W1,1,C35,"The reason I want to go for this course is my everlasting interest in it. I have always displayed interest in the vast world of business ever since young when I first started operating a charity shop back in primary school. The satisfying feeling of hard work, convincing customers to purchase small tokens, sparked my interest. In addition, I am also equipped with IT skills in my secondary school life, with some skills learned from school and some on my own. Of course, I developed an interest in IT as well. And since both my interests add up to this course, I am determined to get into it. For achievements wise, I went for an AEM in Republic Polytechnic last year for consumer behavior and research. I also clinched the 2nd place in a public speaking competition, Chong pangs top public speaker. I believe public speaking is necessary for this course to achieve good results",0
13,C35A11W2,2,C35,"I want to be able to streamline and expand my dad's business growing up in this digital world, I am extremely aware that in order for businesses to survive, they need to innovate and look at ways to reach out to their buyers and consumers. Nowadays, many banks allow its users to make payment with their mobile. If equipped with the necessary knowledge and analytical skills, I would be able to transfer my acquired knowledge to improve my dad's business. NIL",0
14,C35A12W1,1,C54,"I want to learn more about the internet security as the internet and social media have been a important part of our life.I was inspired by movies and shows about hackers as well as the ""White hats"" about the cyber attack and cyber defense which it carries out my interest in this course.Besides,i am very interested in secure software development because I want ensure that the users use the apps safely.As the internet is getting more popular,it is important to keep the internet safe. NIL",1
